"ID","AphAra","AztXan001","CarBre","CarUri","CypMin","EctRui","GnaCon","GnaReg","HypOpa","LabCoe","LepPun","MayCon","MegSp001","MycTar","NeiHum","NeiIri","NeiMac","NeoVer","Nyl001","OdoBau","OdoMei","PacHar","Phe011423","Phe015","Phe0216","Phe025","Phe031","Phe091927","PheCfAvi","PheCol","PheDas","PheGlo","PheMul","PhePug","PheRug","PheSen","PheSim","RogFor","SerAma","SolCfBic","SolCfBre","SolCfCas","SolCfPol","SolCfVin","SolSp008","StrMar","TranGil","WasAur","Sample_num","Plot_abbre","Season","Species","Experiment"
"25_wet",0,0,0.0625,0,0,0.625,0.0625,0,0.0625,0,0,0,0,0.125,0,0,0,0,0,0,0,0.0625,0,0,0,0,0.0625,0.0625,0.125,0.125,0,0,0,0.0625,0.1875,0,0,0,0.0625,0,0,0,0,0.125,0,0,0,0.0625,16,"25","wet","P","pitfall_wet"
"A_wet",0,0,0,0,0.0625,1,0.125,0.125,0,0.0625,0.3125,0,0.0625,0,0,0,0,0,0,0,0,0.625,0,0.0625,0.625,0,0,0,0,0,0,0,0.4375,0,0.0625,0,0.1875,0,0,0,0.0625,0.125,0.125,0.0625,0,0,0,0.0625,16,"A","wet","P","pitfall_wet"
"D_wet",0.0625,0,0,0,0,0.0625,0,0,0,0,0,0,0.0625,0,0,0,0,0.0625,0,0.0625,0.0625,0.125,0,0,0,0.1875,0,0.0625,0,0.5,0,0,0,0.375,0.0625,0.125,0,0,0.125,0,0,0,0,0.125,0,0,0,0.125,16,"D","wet","P","pitfall_wet"
"P_wet",0.125,0.0625,0,0,0,0.9375,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0.125,0,0,0,0,0.125,0,0,0,0,0,0.0625,0.0625,0.125,0,0.125,0.25,0.0625,0,0,0.1875,16,"P","wet","P","pitfall_wet"
"Z_wet",0,0,0.0625,0,0.0625,0.875,0,0,0.0625,0,0.0625,0,0,0,0.0625,0,0,0,0,0,0,0.0625,0.0625,0,0.0625,0,0,0.0625,0,0,0.0625,0.0625,0.375,0,0.125,0,0.25,0,0.125,0,0.0625,0,0.0625,0.3125,0,0.0625,0,0.0625,16,"Z","wet","P","pitfall_wet"
"25_Cec",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"25","wet","Cec","below"
"25_G",0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,4,"25","wet","G","below"
"25_Jac",0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,4,"25","wet","Jac","below"
"25_Och",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,4,"25","wet","Och","below"
"25_P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0.25,0,0,0,0,4,"25","wet","P","below"
"25_TrBl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,4,"25","wet","TrBl","below"
"25_Zan",0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.25,0,0,0,0,4,"25","wet","Zan","below"
"A_Ape",0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,4,"A","wet","Ape","below"
"A_Cec",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.25,0,0,0,0,0,0.25,4,"A","wet","Cec","below"
"A_G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,4,"A","wet","G","below"
"A_Jac",0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,4,"A","wet","Jac","below"
"A_Och",0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,4,"A","wet","Och","below"
"A_TrBl",0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.25,0,4,"A","wet","TrBl","below"
"A_Zan",0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.25,0,0,0,0,4,"A","wet","Zan","below"
"D_Ape",0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0.25,0,4,"D","wet","Ape","below"
"D_Cec",0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,4,"D","wet","Cec","below"
"D_G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.75,0,4,"D","wet","G","below"
"D_Jac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.5,0,0,0,0,0,0,0.25,0,4,"D","wet","Jac","below"
"D_Och",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,4,"D","wet","Och","below"
"D_P",0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,4,"D","wet","P","below"
"D_TrBl",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.75,0,4,"D","wet","TrBl","below"
"D_Zan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,4,"D","wet","Zan","below"
"P_Cec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,4,"P","wet","Cec","below"
"P_G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,4,"P","wet","G","below"
"P_Jac",0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,4,"P","wet","Jac","below"
"P_Och",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.5,0,0,0,0,4,"P","wet","Och","below"
"P_P",0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,4,"P","wet","P","below"
"P_TrBl",0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,4,"P","wet","TrBl","below"
"Z_Ape",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0,4,"Z","wet","Ape","below"
"Z_Cec",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0,4,"Z","wet","Cec","below"
"Z_G",0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0,4,"Z","wet","G","below"
"Z_Jac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,4,"Z","wet","Jac","below"
"Z_Och",0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,4,"Z","wet","Och","below"
"Z_P",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,4,"Z","wet","P","below"
"Z_TrBl",0,0,0,0.25,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,4,"Z","wet","TrBl","below"
"Z_Zan",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,4,"Z","wet","Zan","below"
